iter	Logloss
0	0.6848527018
1	0.676723175
2	0.6701202393
3	0.6629529317
4	0.65331309
5	0.6461673991
6	0.636268158
7	0.628537852
8	0.6211037191
9	0.6133642578
10	0.6085242716
11	0.600109609
12	0.5972206624
13	0.5903500366
14	0.5844069926
15	0.5773891703
16	0.5718163045
17	0.5648449707
18	0.5597558594
19	0.552938385
20	0.5473359172
21	0.5408745321
22	0.5347086589
23	0.5291999817
24	0.5233036296
25	0.5183615621
26	0.5126277669
27	0.5067084757
28	0.5016151937
29	0.4965275574
30	0.4906966146
31	0.4869510396
32	0.483227183
33	0.4783942668
34	0.47451238
35	0.4711901347
36	0.4666551717
37	0.4627027893
38	0.4605321248
39	0.4564604187
40	0.4535374959
41	0.4503286743
42	0.4455577596
43	0.442645874
44	0.439245402
45	0.4357570903
46	0.4322712708
47	0.429561259
48	0.4267120361
49	0.4236407979
50	0.4205014547
51	0.4172671763
52	0.4141092173
53	0.4107205709
54	0.4077527364
55	0.4053318787
56	0.4022810872
57	0.4000754293
58	0.397155838
59	0.3943119812
60	0.3913891602
61	0.3885884857
62	0.3859159342
63	0.3835397593
64	0.3807090251
65	0.3783871969
66	0.3757637278
67	0.3733563232
68	0.3707855733
69	0.3686093648
70	0.3660895793
71	0.3636207581
72	0.361324056
73	0.3590828196
74	0.3574454244
75	0.3553930664
76	0.3542650096
77	0.3522157033
78	0.3510013326
79	0.349568634
80	0.3474076843
81	0.3460444895
82	0.3443067932
83	0.342520752
84	0.3414907837
85	0.3396006775
86	0.3379752858
87	0.3368694305
88	0.335206248
89	0.3339138794
90	0.3335163371
91	0.3322704569
92	0.3307722982
93	0.3290650431
94	0.3275227865
95	0.3271228536
96	0.3257088725
97	0.3244517517
98	0.3233254242
99	0.3218833415
100	0.3205429586
101	0.3188563029
102	0.3182598623
103	0.3166624451
104	0.3149133809
105	0.3135421244
106	0.3114281209
107	0.3099914551
108	0.3086034902
109	0.3077513123
110	0.3067451986
111	0.3054876709
112	0.3048296102
113	0.3033677673
114	0.3021776581
115	0.3009957886
116	0.2998589071
117	0.2988098653
118	0.2978260549
119	0.2968462626
120	0.2949574788
121	0.2935776011
122	0.2927140299
123	0.2912350464
124	0.2904787191
125	0.2893841044
126	0.2886571757
127	0.2878001404
128	0.2864244334
129	0.2852482096
130	0.2841799418
131	0.283391571
132	0.2823458354
133	0.2813113403
134	0.2806677246
135	0.2801585388
136	0.2795317332
137	0.2784414164
138	0.2779030609
139	0.2766154226
140	0.275843811
141	0.2750600942
142	0.2742124939
143	0.2740503947
144	0.2737682088
145	0.2730767822
146	0.2725815582
147	0.2718027242
148	0.2710186513
149	0.2704934184
150	0.2696327464
151	0.2695014445
152	0.2690414174
153	0.2680739339
154	0.267450765
155	0.2668911743
156	0.2664925639
157	0.2659376526
158	0.2653494008
159	0.2641637166
160	0.2632911682
161	0.2627553304
162	0.2621997325
163	0.2613170369
164	0.2607106018
165	0.2602841187
166	0.2598775736
167	0.2594764201
168	0.2590490214
169	0.2583722941
170	0.2580266571
171	0.2575765737
172	0.2570161438
173	0.2564407857
174	0.2560075378
175	0.255585378
176	0.2550159709
177	0.2542660522
178	0.2536434428
179	0.253049469
180	0.2523409526
181	0.2519389089
182	0.2512440236
183	0.2506123352
184	0.2500983938
185	0.2494344076
186	0.2487595113
187	0.2483493805
188	0.2477010345
189	0.2472860972
190	0.2467872874
191	0.2459964498
192	0.2452194722
193	0.2448247782
194	0.2443827311
195	0.2438745117
196	0.2433046977
197	0.2430614471
198	0.2425675456
199	0.2420900472
200	0.2417194621
201	0.2413653564
202	0.2408804321
203	0.2396845245
204	0.2392576853
205	0.2390078481
206	0.2385628764
207	0.2382007345
208	0.2377731323
209	0.2368817139
210	0.2363722229
211	0.2360850779
212	0.2356788381
213	0.2355735016
214	0.2349828084
215	0.2345809937
216	0.2342894999
217	0.2338358053
218	0.2335015361
219	0.2331275686
220	0.232763621
221	0.2324096425
222	0.2320865631
223	0.2316485087
224	0.2312440999
225	0.2305699158
226	0.2304040782
227	0.2300823975
228	0.229852651
229	0.2294156138
230	0.228844223
231	0.2285571035
232	0.2281728872
233	0.2278931173
234	0.2276185099
235	0.2271485901
236	0.2265299479
237	0.226121521
238	0.2256485494
239	0.2252838135
240	0.2250367483
241	0.2244791412
242	0.2238431295
243	0.2236034393
244	0.2233016459
245	0.2229167938
246	0.2221927389
247	0.2218479156
248	0.2214899699
249	0.2208684285
250	0.2201783244
251	0.2198677572
252	0.2196451823
253	0.2191083527
254	0.2188192495
255	0.2185342153
256	0.2181769816
257	0.2178396606
258	0.2175777435
259	0.2171902974
260	0.2168244934
261	0.216529185
262	0.2164269765
263	0.2162645213
264	0.2160870361
265	0.2157583618
266	0.2153486633
267	0.2148140717
268	0.2145711517
269	0.2143313599
270	0.2140710195
271	0.2135598755
272	0.2133754476
273	0.2131397756
274	0.2128717041
275	0.2125547536
276	0.2123402405
277	0.2120428594
278	0.2118841426
279	0.2117208354
280	0.2115402985
281	0.2114861425
282	0.2111655807
283	0.2110180028
284	0.2109307607
285	0.2107311757
286	0.2104181798
287	0.2101620483
288	0.2098397827
289	0.2093376795
290	0.2091358566
291	0.208726565
292	0.2083606974
293	0.2081172943
294	0.2079167302
295	0.2077029928
296	0.20744826
297	0.2071787008
298	0.206879069
299	0.2067197673
300	0.2063882955
301	0.2062187068
302	0.2058005269
303	0.205529658
304	0.2053575389
305	0.2050874329
306	0.2048657099
307	0.2045574188
308	0.2042581813
309	0.2040251668
310	0.2037531281
311	0.2035859044
312	0.2032728704
313	0.2030484263
314	0.2025882212
315	0.2023242442
316	0.2020304998
317	0.2016695023
318	0.2014642588
319	0.2010184224
320	0.2008843994
321	0.2005621592
322	0.2002818298
323	0.2000625992
324	0.1999438095
325	0.199734141
326	0.1994720713
327	0.1992710114
328	0.1990549469
329	0.1988731639
330	0.1985836665
331	0.1983175532
332	0.1981422933
333	0.197904803
334	0.1977232615
335	0.1976055145
336	0.1973340607
337	0.1971969986
338	0.1969905853
339	0.1967099508
340	0.1965063731
341	0.1963029226
342	0.1961625926
343	0.1958655802
344	0.1958164978
345	0.1955815887
346	0.1952818425
347	0.1951394653
348	0.1949275335
349	0.1947063955
350	0.1946824265
351	0.1943771489
352	0.194336141
353	0.1941802216
354	0.1939644623
355	0.1937827047
356	0.1935641734
357	0.1933442434
358	0.1931401825
359	0.1929727173
360	0.1927360408
361	0.1925026194
362	0.1923298009
363	0.1921736399
