iter	Passed	Remaining
161	257	1330
162	258	1329
163	260	1327
164	262	1326
165	263	1324
166	265	1324
167	267	1322
168	268	1320
169	270	1318
170	271	1316
171	273	1317
172	275	1315
173	276	1313
174	278	1311
175	279	1310
176	281	1308
177	282	1306
178	284	1306
179	286	1305
180	288	1303
181	289	1302
182	291	1300
183	292	1298
184	294	1296
185	296	1297
186	298	1297
187	300	1296
188	301	1294
189	303	1292
190	304	1291
191	306	1290
192	308	1288
193	309	1287
194	311	1285
195	313	1283
196	314	1282
197	316	1280
198	317	1279
199	319	1277
200	321	1276
201	322	1274
202	324	1273
203	325	1271
204	327	1269
205	328	1267
206	330	1266
207	332	1264
208	333	1262
209	335	1260
210	336	1259
211	338	1257
212	340	1256
213	340	1252
214	342	1250
215	344	1249
216	345	1247
217	347	1246
218	349	1244
219	350	1242
220	352	1241
221	353	1239
222	355	1237
223	356	1236
224	358	1234
225	360	1233
226	361	1230
227	362	1228
228	364	1227
229	366	1225
230	367	1224
231	369	1222
232	370	1221
233	372	1219
234	374	1218
235	375	1216
236	377	1214
237	379	1213
238	380	1211
239	382	1210
240	383	1208
241	385	1206
242	386	1204
243	388	1203
244	389	1201
245	391	1200
246	393	1198
247	394	1197
248	396	1195
249	398	1194
250	399	1192
251	401	1190
252	402	1189
253	404	1187
254	405	1185
255	407	1184
256	409	1183
257	410	1181
258	412	1179
259	413	1178
260	415	1176
261	417	1174
262	418	1173
263	420	1172
264	422	1170
265	423	1168
266	425	1167
267	426	1165
268	428	1164
269	430	1162
270	431	1160
271	433	1159
272	434	1157
273	436	1156
274	437	1154
275	439	1152
276	441	1151
277	442	1149
278	444	1148
279	445	1146
280	447	1145
281	448	1142
282	450	1140
283	451	1139
284	453	1136
285	454	1135
286	456	1133
287	458	1132
288	459	1130
289	461	1129
290	462	1127
291	464	1126
292	466	1124
293	467	1123
294	469	1121
295	470	1120
296	472	1118
297	474	1116
298	475	1115
299	477	1113
300	478	1112
301	480	1110
302	482	1109
303	483	1107
304	485	1106
305	487	1104
306	488	1102
307	490	1101
308	491	1099
309	493	1097
310	494	1096
311	496	1094
312	497	1092
313	499	1091
314	501	1089
315	502	1088
316	504	1086
317	505	1085
318	507	1083
319	509	1082
320	510	1080
321	512	1078
322	513	1077
323	515	1075
324	517	1074
325	518	1072
326	520	1071
327	521	1069
328	523	1067
329	525	1066
330	526	1064
331	528	1062
332	529	1061
333	531	1059
334	533	1058
335	534	1056
336	536	1054
337	537	1053
338	539	1051
339	540	1049
340	542	1048
341	544	1046
342	545	1045
343	547	1043
344	548	1040
345	549	1039
346	551	1037
347	553	1036
348	554	1034
349	556	1033
350	557	1030
351	558	1028
352	559	1026
353	561	1024
354	562	1022
355	564	1021
356	566	1019
357	567	1018
358	569	1016
359	570	1014
360	572	1013
361	574	1011
362	575	1010
363	577	1008
364	578	1007
365	580	1005
366	582	1003
367	583	1002
368	585	1000
369	586	999
370	588	997
371	589	995
372	591	994
373	593	992
374	594	991
375	595	988
376	597	987
377	598	985
378	600	984
379	602	982
380	603	980
381	604	978
382	606	976
383	607	975
384	609	973
385	611	972
386	612	970
387	614	968
388	615	967
389	617	965
390	618	963
391	620	962
392	622	960
393	623	959
394	625	957
395	626	955
396	628	954
397	629	952
398	631	951
399	633	949
400	634	948
401	636	946
402	637	944
403	639	943
404	640	941
405	642	939
406	644	938
407	645	936
408	647	935
409	648	933
410	650	931
411	651	930
412	653	928
413	655	927
414	656	925
415	658	924
416	659	922
417	661	920
418	662	919
419	664	917
420	666	916
421	667	914
422	669	913
423	670	911
424	671	908
425	673	907
426	674	905
427	676	904
428	678	902
429	679	901
430	681	899
431	683	898
432	684	896
433	686	894
434	687	893
435	689	891
436	690	890
437	692	888
438	694	887
439	695	885
440	697	883
441	698	882
442	700	880
443	702	879
444	703	877
445	705	876
446	706	874
447	708	872
448	709	871
449	711	869
450	713	868
451	714	866
452	716	865
453	717	863
454	719	861
455	721	860
456	722	858
457	724	856
458	725	855
459	727	853
460	728	852
461	730	850
462	732	849
463	733	847
464	735	846
465	736	844
466	738	842
467	740	841
468	741	839
469	743	838
470	744	836
471	746	834
472	747	833
473	749	831
474	750	829
475	752	828
476	754	826
477	755	825
478	757	823
479	758	821
480	760	820
481	761	818
482	763	817
483	765	815
484	766	814
485	768	812
486	769	810
487	771	809
488	772	807
489	774	806
490	776	804
491	777	803
492	779	801
493	780	799
494	782	798
495	784	796
496	785	795
497	787	793
498	788	792
499	790	790
500	792	788
501	793	787
502	795	785
503	796	784
504	798	782
505	800	781
506	801	779
507	803	777
508	804	776
509	806	774
510	807	773
511	809	771
512	811	770
513	812	768
514	814	766
515	815	765
516	817	763
517	819	762
518	820	760
519	822	759
520	823	757
521	825	755
522	827	754
523	828	752
524	830	751
525	831	749
526	833	748
527	835	746
528	836	744
529	838	743
530	839	741
531	841	740
532	842	738
533	844	736
534	846	735
535	847	733
536	849	732
537	850	730
538	852	729
539	853	727
540	855	725
541	857	724
542	858	722
543	860	721
544	861	719
545	863	717
546	865	716
547	866	714
548	868	713
549	869	711
550	871	710
551	873	708
552	874	706
553	876	705
554	877	703
555	879	702
556	881	700
557	882	699
558	884	697
559	885	695
560	887	694
561	889	692
562	890	691
563	892	689
564	893	688
565	895	686
566	896	684
567	898	683
568	899	681
569	901	679
570	902	678
571	904	676
572	905	675
573	907	673
574	909	671
575	910	670
576	912	668
577	913	667
578	915	665
579	916	663
580	918	662
581	920	660
582	921	659
583	923	657
584	924	655
585	925	654
586	927	652
587	929	651
588	930	649
589	932	647
590	933	646
591	935	644
592	937	643
593	938	641
594	940	639
595	941	638
596	943	636
597	944	635
598	946	633
599	948	632
600	949	630
601	951	628
602	952	627
603	954	625
604	955	624
605	957	622
606	958	620
607	960	619
608	962	617
609	963	616
610	965	614
611	966	612
612	968	611
613	970	609
614	971	608
615	973	606
616	974	605
617	976	603
618	977	601
619	979	600
620	980	598
621	982	597
622	984	595
623	985	593
624	987	592
625	988	590
626	990	589
627	991	587
628	993	585
629	994	584
630	996	582
631	998	581
632	999	579
633	1000	577
634	1002	576
635	1004	574
636	1005	573
637	1007	571
638	1008	569
639	1010	568
640	1012	566
641	1013	565
642	1015	563
643	1016	562
644	1018	560
645	1019	558
646	1021	557
647	1022	555
648	1024	554
649	1026	552
650	1027	550
651	1029	549
652	1030	547
653	1032	546
654	1034	544
655	1035	543
656	1037	541
657	1038	539
658	1040	538
659	1041	536
660	1043	535
661	1045	533
662	1046	532
663	1048	530
664	1049	528
665	1051	527
666	1052	525
667	1054	524
668	1056	522
669	1057	520
670	1059	519
671	1060	517
672	1062	516
673	1063	514
674	1065	513
675	1067	511
676	1068	509
677	1070	508
678	1071	506
679	1073	505
680	1075	503
681	1076	501
682	1078	500
683	1079	498
684	1081	497
685	1082	495
686	1084	494
687	1086	492
688	1087	490
689	1089	489
690	1090	487
691	1092	486
692	1094	484
693	1095	483
694	1097	481
695	1098	479
696	1100	478
697	1102	476
698	1103	475
699	1105	473
700	1106	472
701	1108	470
702	1109	468
703	1111	467
704	1112	465
705	1114	464
706	1116	462
707	1117	460
708	1119	459
709	1120	457
710	1122	456
711	1124	454
712	1125	453
713	1127	451
714	1128	449
715	1130	448
716	1131	446
717	1133	445
718	1135	443
719	1136	442
720	1138	440
721	1139	438
722	1141	437
723	1143	435
724	1144	434
725	1146	432
726	1147	431
727	1149	429
728	1150	427
729	1152	426
730	1153	424
731	1155	423
732	1157	421
733	1158	419
734	1160	418
735	1161	416
736	1163	415
737	1165	413
738	1166	412
739	1168	410
740	1169	408
741	1171	407
742	1173	405
743	1174	404
744	1176	402
745	1177	401
746	1179	399
747	1180	397
748	1182	396
749	1184	394
750	1185	393
751	1187	391
752	1188	389
753	1190	388
754	1192	386
755	1193	385
756	1195	383
757	1196	382
758	1198	380
759	1200	379
760	1201	377
761	1203	375
762	1205	374
763	1206	372
764	1208	371
765	1209	369
766	1211	367
767	1212	366
768	1214	364
769	1216	363
770	1217	361
771	1219	360
772	1221	358
773	1222	357
774	1224	355
775	1225	353
776	1227	352
777	1229	350
778	1230	349
779	1232	347
780	1233	345
781	1235	344
782	1236	342
783	1238	341
784	1239	339
785	1241	338
786	1243	336
787	1244	334
788	1246	333
789	1247	331
790	1249	330
791	1251	328
792	1252	326
793	1254	325
794	1255	323
795	1257	322
796	1258	320
797	1260	319
798	1261	317
799	1263	315
800	1265	314
801	1266	312
802	1268	311
803	1269	309
804	1271	307
805	1273	306
806	1274	304
807	1276	303
808	1277	301
809	1279	300
810	1280	298
811	1282	296
812	1283	295
813	1285	293
814	1287	292
815	1288	290
816	1290	289
817	1292	287
818	1293	285
819	1295	284
820	1296	282
821	1298	281
822	1299	279
823	1301	277
824	1302	276
825	1304	274
826	1306	273
827	1307	271
828	1309	270
829	1310	268
830	1312	266
831	1313	265
832	1315	263
833	1317	262
834	1318	260
835	1320	258
836	1321	257
837	1323	255
838	1324	254
839	1326	252
840	1328	251
841	1329	249
842	1331	247
843	1332	246
844	1334	244
845	1335	243
846	1337	241
847	1339	240
848	1340	238
849	1342	236
850	1343	235
851	1345	233
852	1346	232
853	1348	230
854	1350	228
855	1351	227
856	1353	225
857	1354	224
858	1356	222
859	1358	221
860	1359	219
861	1361	217
862	1362	216
863	1364	214
864	1365	213
865	1367	211
866	1368	209
867	1370	208
868	1372	206
869	1373	205
870	1375	203
871	1376	202
872	1378	200
873	1379	198
874	1381	197
875	1383	195
876	1384	194
877	1386	192
878	1387	191
879	1389	189
880	1390	187
881	1392	186
882	1394	184
883	1395	183
884	1397	181
885	1398	179
886	1400	178
887	1401	176
888	1403	175
889	1405	173
890	1406	172
891	1408	170
892	1409	168
893	1411	167
894	1413	165
895	1414	164
896	1416	162
897	1417	161
898	1419	159
899	1420	157
900	1422	156
901	1424	154
902	1425	153
903	1427	151
904	1428	149
905	1430	148
906	1431	146
907	1433	145
908	1434	143
909	1436	142
910	1438	140
911	1439	138
912	1441	137
913	1442	135
914	1444	134
915	1446	132
916	1447	131
917	1449	129
918	1451	127
919	1452	126
920	1454	124
921	1455	123
922	1457	121
923	1458	120
924	1460	118
925	1462	116
926	1463	115
927	1465	113
928	1466	112
929	1468	110
930	1470	108
931	1471	107
932	1473	105
933	1474	104
934	1476	102
935	1478	101
936	1479	99
937	1481	97
938	1482	96
939	1484	94
940	1486	93
941	1487	91
942	1489	90
943	1490	88
944	1492	86
945	1493	85
946	1495	83
947	1496	82
948	1498	80
949	1500	78
950	1501	77
951	1503	75
952	1504	74
953	1506	72
954	1508	71
955	1509	69
956	1511	67
957	1512	66
958	1514	64
959	1516	63
960	1517	61
961	1519	60
962	1520	58
963	1522	56
964	1524	55
965	1525	53
966	1527	52
967	1528	50
968	1530	48
969	1532	47
970	1533	45
971	1535	44
972	1536	42
973	1538	41
974	1539	39
975	1541	37
976	1543	36
977	1545	34
978	1547	33
979	1548	31
980	1550	30
981	1551	28
982	1553	26
983	1554	25
984	1556	23
985	1558	22
986	1559	20
987	1561	18
988	1562	17
989	1564	15
990	1565	14
991	1567	12
992	1569	11
993	1570	9
994	1572	7
995	1573	6
996	1575	4
997	1576	3
998	1578	1
999	1579	0
